ID 	 Date 	 Text 	 I-LOC 	 I-PER 	 I-MISC & IORG
gnd118554700_f8a5a9d0-3479-467a-89c3-440db5f94ceb	1789-09-24	H. verläßt Göttingen mit dem holländischen Arzt und Botaniker Steven Jan van Geuns (1767-1795) zu einer "naturhistorischen" Studienreise. Reiseroute: Kassel, Marburg, Gießen, Frankfurt/Main, Darmstadt, der Bergstraße folgend über Heppenheim und Weinheim bis Heidelberg, Speyer, Bruchsal, Philippsburg, Mannheim, Alzey, Mörsfeld, Besuch von Quecksilberbergwerken in Pfalz-Zweibrücken. Dann nach Mainz, wo sie 8 Tage im Hause Georg Forsters leben, auf dem Rhein bis Bonn, zu Land nach Köln und Pempelfort, wo sie 8 Tage bei Friedrich Heinrich Jacobi verbringen, Duisburg, Münster, Warendorf, Rietberg, Paderborn, Kassel.	[Alzey, Bonn, Bruchsal, Darmstadt, Duisburg, Frankfurt/Main, Gießen, Heidelberg, Heppenheim, Kassel, Köln, Mainz, Mannheim, Marburg, Mörsfeld, Münster, Paderborn, Pempelfort, Philippsburg, Rhein, Rietberg, Speyer, Warendorf, Weinheim]	[Friedrich Heinrich Jacobi, Georg Forsters, Steven Jan van Geuns]	[naturhistorischen]
gnd118554700_48c16824-6557-4029-89fb-be285a72c15f	1789-12-14	H. und sein Bruder treffen sich in Gotha. Sie bleiben zwei Tage im Hause ihres früheren Lehrers Josias Friedrich Christian Löffler, bei dem sie in Frankfurt/Oder gewohnt hatten. H. reist am dritten Tag nach Erfurt weiter.	[Erfurt, Frankfurt/Oder, Gotha]	[Friedrich Christian Löffler, Josias Friedrich Christian Löffler]	[Frankfurt/Oder]
gnd118554700_68af3a1e-7185-4f4e-9d66-8b6297f4d6bc	1789-12-16	Ankunft in Erfurt. Verlobung Wilhelm von Humboldts mit Caroline von Dacheröden (1766-1829).	[Erfurt, Humboldts]	[Caroline, Caroline von Dacheröden, Wilhelm von Humboldts]	[]
gnd118554700_b1c49fc7-4de9-47f5-aea5-6b83f86d2aa3	1789-12-18	H. reitet nach Göttingen zurück.	[Göttingen]	[]	[]
gnd118554700_fc016f14-b60b-47bb-9720-8e84022e4af3	1789-12-31	H. erkrankt in Göttingen an Masern.	[Göttingen]	[]	[]
gnd118554700_5cdb55f6-f2bd-482d-99e7-daba5b91131a	1790-02-14	H. schickt den ersten Teil des Manuskripts für das Buch "Mineralogische Beobachtungen über einige Basalte am Rhein" an den Verleger. Der Rest folgt am 21.2.; das Werk erscheint im gleichen Jahr in Braunschweig.	[Braunschweig, Rhein]	[]	[]
gnd118554700_955f4926-b142-4ec4-b513-d919a331053d	1790-03-18	H., der seine Studien in Göttingen beendet hat, reist nach Mainz.	[Göttingen, Mainz]	[]	[]
gnd118554700_0b2e4b0d-aadf-4907-8cee-9160cb30eec1	1790-03-21	H. trifft in Mainz bei Georg Forster ein.	[Mainz]	[Georg Forster]	[]
gnd118554700_facc676d-3a7f-4f7d-86b9-b35a99f8f8cf	1790-03-25	Beginn der Reise H.s mit Forster. Reiseroute (Übernachtungsorte, soweit bekannt, kursiv): 7 Uhr Abfahrt mit dem Schiff von Mainz, Eltville, Bingen, Bacharach, Kaub, St. Goar, Boppard (20 Uhr).	[Bacharach, Bingen, Boppard, Eltville, H.s, Kaub, Mainz, St. Goar]	[Forster, Goar, Kaub]	[]
gnd118554700_63209597-ebe4-4a8d-b634-4bdf29a410fe	1790-03-26	Ehrenbreitstein (von hier bis Düsseldorf begleitet sie der Schauspieler August Wilhelm Iffland), bis 13.30 Uhr in Koblenz, Neuwied, Andernach (mineralogische Exkursion).	[Andernach, Düsseldorf, Ehrenbreitstein, Koblenz, Neuwied]	[August Wilhelm Iffland, Wilhelm Iffland]	[]
gnd118554700_90b485da-929c-460f-b7b3-eccdd6bf5259	1790-03-27	Abfahrt bald nach 4 Uhr, Basaltbruch gegenüber Unkel (9 Uhr), Bonn, Köln (bis zum Einbruch der Dunkelheit im Dom).	[Bonn, Dom -RRB-, Köln, Unkel]	[]	[]
gnd118554700_930f8cf6-a7c6-4750-9663-cc703ede9a24	1790-03-28	Mit dem Schiff bis Düsseldorf, Aufenthalt in Pempe1fort bis zum 30.3. bei F. H. Jacobi.	[Düsseldorf]	[F. H. Jacobi]	[]
gnd118554700_8ee51204-acce-4e58-bf0f-151bf2a6c707	1790-03-30	Besuch der Galerie in Düsseldorf (3 Stunden). Nachts von Pempelfort nach Jülich, Aachen. Aufenthalt dort bis zum 3.4. mit Abstechern nach Vaals und Burtscheid.	[Aachen, Düsseldorf, Pempelfort, Vaals]	[Burtscheid]	[]
gnd118554700_a8d5b634-68a0-4911-8543-4cb78dd46598	1790-04-03	Früh Abreise von Aachen nach Clermont, Lüttich. Aufenthalt dort bis zum 5.4.	[Aachen, Clermont]	[]	[]
gnd118554700_d4325250-d06d-4d04-ba9a-ede245cfa815	1790-04-05	Lüttich, St. Trond, Tirlemont, Löwen.	[]	[]	[St. Trond]
gnd118554700_59c8eebe-753a-4e5f-a358-42b8c7af28bc	1790-04-06	Löwen, Mecheln, Vilvoorde, Brüssel.	[Brüssel, Mecheln]	[]	[]
gnd118554700_b1fc4545-6ddb-4cd8-a871-e03c6be0aa4b	1790-04-07	Stadtbesichtigung von Brüssel.	[Brüssel]	[Brüssel]	[]
gnd118554700_bb8201f9-fb02-4a38-98b9-add8245f066c	1790-04-09	Exkursion von Brüssel nach Schooneberg,	[Brüssel, Schooneberg]	[]	[]
gnd118554700_8370e22f-ab69-41e9-91c3-a70dca5628a8	1790-04-11	Weiterfahrt von Brüssel nach Enghien. Besuch bei Herzog Ludwig Engelbert von Aremberg (1750-1820).	[Brüssel]	[Ludwig Engelbert von Aremberg]	[]
gnd118554700_2aaa75a2-75f8-4c90-8513-0c75e4c57952	1790-04-12	Enghien, Ath, Leuze, Tournai, über die franz. Grenze nach Pont à Tressain, Lille.	[Lille, Tournai]	[Leuze, franz]	[]
gnd118554700_6937e7d0-ee9c-4ae0-96bb-d34c9095d99e	1790-04-13	Lille, Armentières, Bailleul, Cassel, Bergen, Dünkirchen.	[Dünkirchen, Lille]	[Cassel]	[]
gnd118554700_de87b84f-0007-48bd-b5ee-291d3da6f5d2	1790-04-14	Dünkirchen, über die französisch-österreichische Grenze, Fürnen.	[Dünkirchen]	[]	[französisch-österreichische]
gnd118554700_cd431233-9bdc-4ab3-949a-4dcbba1841d0	1790-04-15	Fürnen, Nieuwpoort, Ghisiel, Ostende.	[Nieuwpoort, Ostende]	[]	[]
gnd118554700_bf975cef-d294-4a2e-b529-bfa1e151ec2e	1790-04-16	Ostende, Jabick, Brügge, Gent.	[Gent, Ostende]	[]	[]
gnd118554700_7469df31-693a-4108-9768-e320d6ca0e96	1790-04-17	Gent, Lokeren, St. Nikolas, Antwerpen.	[Antwerpen, Gent, Lokeren]	[]	[St. Nikolas]
gnd118554700_3c19208a-36e5-40d1-94d0-426d2cceb4c7	1790-04-18	Besichtigung einer Salzsiederei.	[]	[]	[]
gnd118554700_3fb3148f-1853-4b7c-9e02-24a300e147f3	1790-04-19	Um 4.30 Uhr Abreise von Antwerpen, über die holländische Grenze, Zevenbergen, Moerdyk, Übersetzen über Hollandsch Diep, Weiterreise über Stryen nach Katendrecht (?).	[Antwerpen]	[Hollandsch Diep]	[holländische]
gnd118554700_399f109d-e786-4e9c-9dad-21e8df77cf4e	1790-04-20	Über die Nieuwe Maas nach Rotterdam.	[Nieuwe Maas, Rotterdam]	[]	[]
gnd118554700_21e1e18a-09e7-44f2-b32d-2e1f395d7263	1790-04-21	Rotterdam, Delft, Den Haag, am 21.4. Spaziergang nach Scheveningen.	[Delft, Rotterdam, Scheveningen]	[]	[]
gnd118554700_086c64f6-3460-4afd-aea3-ed053bbd72dc	1790-04-27	Abfahrt von Den Haag um Mitternacht (auf dem Schiff geschlafen), an Hartekamp vorbei, Haarlem, mit Kutsche bis Amsterdam. Aufenthalt dort bis zum 1.5.	[Amsterdam, Haarlem]	[Hartekamp]	[]
gnd118554700_250d85eb-bcad-4a32-a762-6583466ebcd9	1790-04-29	Ausflug von Amsterdam nach Zaandam.	[Amsterdam, Zaandam]	[]	[]
gnd118554700_533bf6c0-47ad-4afd-bd3c-3d10650f3f62	1790-05-01	Um 5 Uhr Abfahrt von Amsterdam, Haarlem, Leiden (22 Uhr). Aufenthalt dort bis zum 4.5.	[Amsterdam, Haarlem, Leiden]	[]	[]
gnd118554700_61b4717a-2a21-48d0-af42-6471a8dfb7dc	1790-05-04	Leiden, Delft, Maassluis.	[Delft, Leiden]	[Maassluis]	[]
gnd118554700_96f25095-3b83-498b-b1c0-3cbf6959c662	1790-05-05	Maassluis, über die Maas, Insel Rozenburg, über den anderen Maasarm, Brielle, Hellevoetsluis (13 Uhr). Um 16 Uhr Einschiffung an Bord der "Nancy" (Fischerboot aus Harwich), Überfahrt nach England.	[England, Harwich]	[Insel Rozenburg, Maas, Nancy]	[Insel Rozenburg]
gnd118554700_089b11b5-f5b2-46e4-8028-9fc2220f3b51	1790-06-30	Reisen in England: London (3.6.), Besuch der Westminster-Abbey, Aufführung des "Messias" von Georg Friedrich Händel, (5.6.), Westminster Hall, (bei diesem oder dem zweiten Aufenthalt in der Stadt Besuch des botanischen Gartens von Kew), Windsor, Reading, Bath, Bristol (Ankunft 7.6., abends), über Worcester, Droitwich, Gloucester, nach Birmingham (9.-11.6.), über Cheadle und Buxton nach Castleton, Middteton (13.6.), Chatsworth, Matlock (14.6.), über Cromford nach Derby (15.6.), über Buxton, Coventry und Warwick nach Stratford (16.6.), über Shipston und Chapel nach Woodstock (17.6.), über Blenheim nach Oxford (18.-20.6.), H. lernt den letzten Schüler Linnés, Adam Afzelius (1750-1837), kennen. London (27.6.), Dover (28.6.). Überfahrt nach Frankreich: Calais (29.6.), Paris; dort Aufenthalt bis zum 6.7. (Diese Daten sind den Briefen und Berichten Georg Forsters entnommen.)	[Bath, Birmingham, Bristol, Buxton, Calais, Castleton, Coventry, Dover, England, Frankreich, Gloucester, Kew, London, Matlock, Oxford, Paris, Stratford, Westminster, Westminster Hall, Westminster-Abbey, Windsor, Woodstock, Worcester]	[Adam Afzelius, Bath, Chatsworth, Georg Forsters, Georg Friedrich Händel, Matlock, Schüler Linnés]	[Blenheim]
gnd118554700_4293bc3a-edc9-421d-b292-41a49366bdf3	1790-07-06	Abreise von Paris, Livry, Claye, Meaux.	[Meaux, Paris]	[Livry]	[]
gnd118554700_21ab1d83-1e37-4ba3-820e-d09d7f719f36	1790-07-07	Um 3 Uhr Abreise von Meaux, Marnetal bis Epernay (10 Uhr), Châlons-sur-Marne (16 Uhr).	[Châlons-sur-Marne, Marnetal, Meaux]	[]	[]
gnd118554700_bd006188-ae90-4c3e-92c1-05ac14241136	1790-07-08	Châlons-sur-Marne, Clermont-en-Argonne, Verdun.	[Verdun]	[]	[]
gnd118554700_874c2188-492d-47e3-9c67-358ed68c646e	1790-07-09	Verdun, Mauheule, Metz (14.30 Uhr).	[Metz, Verdun]	[Metz]	[]
gnd118554700_4ac22ec9-32c3-4c7b-8883-fdf5b9610995	1790-07-11	Ankunft in Mainz.	[Mainz]	[]	[]
gnd118554700_61f96b43-3dd4-428d-869a-b1f29ddc18d5	1790-07-25	H. sendet seine Schrift "Mineralogische Beobachtungen über einige Basalte am Rhein" an Abraham Gottlob Werner.	[Rhein]	[Abraham Gottlob Werner, Gottlob Werner]	[]
gnd118554700_97cd4fff-6684-489b-9789-912e2bdf045c	1790-07-26	Abreise (geplant) von Mainz, Aschaffenburg, Vogelsgebirge, Rhön, Göttingen (B: 10.8.), Hamburg.	[Aschaffenburg, Göttingen, Hamburg, Mainz, Rhön]	[]	[]
gnd118554700_1ce6658b-1e79-43ef-90ab-11521aa2776c	1790-08-10	H. besucht Georg Christoph Lichtenberg in Göttingen und berichtet ihm von seiner Reise.	[Göttingen]	[Georg Christoph Lichtenberg]	[]
gnd118554700_f4127986-d75d-4588-b346-9ba741719b7e	1790-08-20	H. setzt an der Handelsakademie von Johann Georg Büsch (1728-1800) in Hamburg seine Studien fort.	[Hamburg]	[Johann, Johann Georg Büsch]	[]
gnd118554700_d03818b3-0dc1-43a7-9d40-1745426183d5	1790-09	H. macht eine achttägige Reise zur Insel Helgoland.	[Helgoland]	[]	[]
gnd118554700_494f1262-52ac-4f89-9b9a-dd461d1f17e4	1790-10-03	H. sendet seine "Mineralogischen Beobachtungen über einige Basalte am Rhein" an Georg Christoph Lichtenberg.	[Rhein]	[Georg Christoph Lichtenberg]	[]
gnd118554700_3e21f3b3-b36c-454a-8908-a8d5c7845dea	1791-04-26	H. nach Beendigung seiner Studien an der Hamburger Handelsakademie auf der Durchreise nach Berlin in Escheburg.	[Berlin, Escheburg]	[]	[Hamburger]
gnd118554700_8eac997a-a5f0-4bdb-a6c1-c17269929268	1791-05	H. setzt in Berlin seine botanischen Exkursionen mit Karl Ludwig Willdenow fort.	[Berlin]	[Karl Ludwig Willdenow]	[]
gnd118554700_6f2a3961-2242-4c68-8f74-ece12d36885d	1791-05-14	H. bittet um eine Anstellung im preußischen Bergdienst.	[]	[]	[]
gnd118554700_76bd4b44-a87c-40a4-aa35-04c08706d94e	1791-06-03	H. reist von Berlin ab, um sich nach Freiberg in Sachsen an die dortige Bergakademie zu begeben. Aufenthalt in Dresden.	[Berlin, Dresden, Freiberg, Sachsen]	[]	[]
gnd118554700_73f603be-72d2-49b0-be1f-33a3d40e135c	1791-06-14	H. nimmt sein Studium an der Bergakademie in Freiberg (Sachsen) auf.	[Freiberg, Sachsen]	[]	[]
gnd118554700_614417ff-6a0f-4874-8f12-4526507ffe04	1791-06-29	In Erfurt heiraten Caroline von Dacheröden und Wilhelm von Humboldt. H. reist deshalb am 24.6. nach Thüringen und verbindet die Reise auf Anraten seines Freiberger Lehrers, des Geologen Abraham Gottlob Werner, mit "geognostischen" Beobachtungen um Naumburg, Bottendorf/Unstrut (Kupferflöze), Bretleben bei Artern, Bad Kösen und Sulza.	[Artern, Bad Kösen, Erfurt, Naumburg, Sulza, Thüringen]	[Abraham Gottlob Werner, Caroline, Caroline von Dacheröden, Wilhelm von Humboldt]	[Freiberger]
gnd118554700_e41ca72b-ae17-4ce3-87f1-250533def607	1791-07-05	Befahrung der Grube "Neu-Beschert-Glück" in Freiberg (Sachsen).	[Freiberg, Sachsen]	[]	[]
gnd118554700_b37bed3f-bfe1-4cd7-b701-754c33ffb285	1791-07-07	H. wird auf Vorschlag Karl Theodor Freiherr von Dalbergs außerordentliches Mitglied der "Churfürstlichen Mayntzischen Academie nützlicher Wissenschaften" zu Erfurt.	[Erfurt]	[Karl Theodor, Karl Theodor Freiherr von Dalbergs]	[Churfürstlichen Mayntzischen Academie, Churfürstlichen Mayntzischen Academie nützlicher Wissenschaften]
gnd118554700_8ed6f469-f570-406e-933a-f59545002ce5	1791-08-09	H. entdeckt bei einer Grubenbefahrung in Freiberg (in der "Radstube") einen neuen Gang, der die Trivialbenennung "Humboldter Spat" erhält.	[Freiberg]	[]	[]
gnd118554700_49d3f67d-f6e3-4a0f-a33c-637d4b00d6cc	1791-08-20	H. unternimmt (nach dem 9.8.) eine Reise durch das Böhmische Mittelgebirge mit seinem Kommilitonen Johann Karl Freiesleben, mit dem er sich in Freiberg angefreundet hatte. Reiseroute: Freiberg, Frauenstein, Altenberg, Klostergrab, Teplitz/Teplice, Dux /Duchcov, Ossegg, Teplitz, Steinkohlenwerk Kutterschütz/Chuderice bei Bilin/Bílina (zeitweise begleitet sie der Biliner Arzt und Naturforscher Franz Ambros Reuß), Bilin (Flaschenfabrik), Hrobschitz/Hrobcice, Meronitz/Merunice (Granatgruben), Kamaikberg/Kamýk bei Wschechlapp/Vsechlapy, Schelkowitz, Granatenschenke (Granátka), Podseditz/ Podsedice (Granatenschleifereien), Koschow/Chozov, Berge bei Koschow und Werschowitz/Vrsovice, Laun (Erdbrände), an der Eger/Ohre entlang bis Koschtitz/Kostice, Hasenberg/Hazmburk bei Klappay /Klapý, zurück über Trebnitz/Trebnice, Tepley/Teplá, Watislaw/Vlatislav, Milleschau/Milesov, nach Teplitz/ Teplice. Über Zinnwald nach Freiberg (B: 25.8.).	[Altenberg, Bilin, Duchcov, Frauenstein, Freiberg, Klappay, Ossegg, Schelkowitz, Steinkohlenwerk Kutterschütz, Teplice, Teplitz, Zinnwald]	[Altenberg, Dux, Franz Ambros, Freiberg, Johann Karl Freiesleben, Koschow, Laun]	[Böhmische, Klappay / Klapý]
gnd118554700_5ae5369e-b846-43fc-ad10-606697d28ca5	1791-11-25	Begegnung mit Leopold von Buch (1774-1853) in Freiberg.	[Freiberg]	[Leopold von Buch]	[]
gnd118554700_637fe6a5-e33f-4595-9ef4-0f546fb43e0b	1791-11-27	H. reist nach Grünthal (wohl bei Olbernhau im Erzgbirge).	[Olbernhau]	[]	[]
gnd118554700_3422e76e-5d65-4b6e-918b-86bbf8397228	1791	Marie Elisabeth von Humboldt kauft das Gut Falkenberg bei Berlin von einem Oberstleutnant von Lochau. Nach dem Umbau der Dorfkirche läßt sie die sterblichen Überreste ihrer Ehemänner und einer Tochter aus erster Ehe in den im Kirchturm eingerichteten Begräbnisplatz überführen.	[Begräbnisplatz, Berlin, Kirchturm, Lochau]	[Falkenberg, Marie Elisabeth von Humboldt]	[]
gnd118554700_c4f722a4-d730-4519-b744-119e348ec948	1792-02-26	H. feiert mit Freunden seinen Studienabschluß in Freiberg. Abreise wohl am selben Tag um 18 Uhr über Meißen nach Berlin.	[Berlin, Freiberg, Meißen]	[]	[]
gnd118554700_fbb7cd03-dfd5-4d7a-a226-026d67167fbe	1792-02-27	H. trifft nach Beendigung seines Studiums in Freiberg wieder in Berlin ein.	[Berlin, Freiberg]	[]	[]
gnd118554700_91f11166-5ff4-4608-8c05-4f4a17be1600	1792-02-29	H. wird Assessor im preußischen Bergdepartement.	[]	[]	[]
gnd118554700_c47b1e06-f007-474c-9182-ad3eb6880849	1792-03-06	H. erhält die am 29.2. ausgefertigte Ernennung zum Assessor cum voto im preußischen Bergdepartement.	[]	[]	[]
gnd118554700_4bcc9085-3a7b-47b7-b222-dcddc85abf9f	1792-03-19	9-12 Uhr Session in der Berg-Administration Berlin.	[Berg-Administration Berlin, Berlin]	[]	[]
gnd118554700_f5a0afb1-b637-4d7b-a8ca-a41c0e5c3c59	1792-04-10	H. mit dem Reichsfreiherrn Karl vom und zum Stein (1757-1831) und Friedrich Wilhelm Graf von Reden (1752-1815) in Freiberg. Sie fahren am 8.4. von Freiberg über Dresden, Elsterwerda, Annaburg und Beelitz "in 2 Tagen und 1 Nacht" zurück.	[Annaburg, Beelitz, Dresden, Elsterwerda, Freiberg]	[Freiberg, Friedrich Wilhelm, Friedrich Wilhelm Graf, Karl]	[]
gnd118554700_176f9a09-dcd5-4cec-bc66-33d82d17bc4c	1792-04-10	H. trifft in Potsdam ein.	[Potsdam]	[]	[]
gnd118554700_b05bb7ce-5c43-411d-a458-b9f44e1499b5	1792-04-11	H. wieder in Berlin; an den Wochenenden in Tegel.	[Berlin, Tegel]	[]	[]
