H0013797	1838-03	Wilhelm Weber auf der Reise nach London in Berlin. H. lädt Weber und Poggendorff zu einem Mittwoch um 10 Uhr zum Frühstück ein.	{H0005221=Berlin|H0005221, H0011492=London|H0011492}	{H0002047=Poggendorff|H0002047|https://upload.wikimedia.org/wikipedia/commons/6/69/Johann_Christian_Poggendorff.jpg, H0006276=Wilhelm Weber|H0006276|https://upload.wikimedia.org/wikipedia/commons/5/55/Wilhelm_Eduard_Weber_II.jpg}	[]
H0004842	1820-06-01	H. spricht von seiner „bevorstehenden Reise nach Persien und Indien“ (Brief an Altenstein, 1.6.1820).	{H0006686=Indien|H0006686}	{H0012589=Altenstein|H0012589|https://upload.wikimedia.org/wikipedia/commons/2/26/Altenstein.jpg}	[]
H0004843	1820-07-10	H. liest im „Institut“ über „limite inférieure des neiges perpétuelles depuis l'équateur jusque vers le milieu des zones tempérées“.	{}	{}	[]
H0014769	1804-01-09	H. besichtigt mit dem Vizekönig José de Iturrigaray (1742–1815) zum zweiten Mal die Entwässerungsanlage (Real Desagüe) von Mexiko-Stadt (bis 11.1.).	{H0008845=Mexiko-Stadt|H0008845}	{}	[]
H0014770	1804-01-20	H. bricht mit seiner Begleitung von Mexiko-Stadt auf, um nach Veracruz zu reisen. Reiseroute: Puebla (22.–25.1.; 24.1. trigonometrische Höhenmessung des Popocatépetl und des Iztaccihuatl im Llano de Tetimba), Cofre de Perote (Besteigung 7.2.), Jalapa (10.–15.2.).	{H0006759=Iztaccihuatl|H0006759, H0006762=Jalapa|H0006762, H0008360=Popocatépetl|H0008360, H0008418=Puebla|H0008418, H0008845=Mexiko-Stadt|H0008845, H0009125=Veracruz|H0009125}	{}	[]
H0014771	1804-02-06	H. wird Korrespondierendes Mitglied der „Section de physique générale“ der 1. Klasse des „Institut“ in Paris.	{H0008129=Paris|H0008129}	{}	[]
H0014772	1804-02-19	Bis 7.3. in Veracruz.	{}	{}	[]
H0014773	1804-03-07	H. schifft sich mit seinen Begleitern auf der spanischen Fregatte „O“ ein und segelt erneut nach Kuba.	{H0000494=Kuba|H0000494}	{}	[]
H0014774	1804-03-19	H. trifft zum zweiten Aufenthalt auf Kuba in Havanna ein.	{H0000494=Kuba|H0000494, H0006819=Havanna|H0006819}	{}	[]
H0014775	1804-04-13	H. verliest in Havanna vor der „Sociedad Económica de Amigos del País“ ein vom 7.4. datiertes mineralogisches Gutachten, betreffend den Cerro de Guanabacoa bei Havanna. Eine Kopie wurde 1822 und 1859 in Havanna gedruckt.	{H0006819=Havanna|H0006819, H0011015=Guanabacoa|H0011015}	{}	[]
H0014776	1804-04-17	Zur Überfahrt nach Charleston wird zunächst die Fregatte „Middelton“ beladen. Die Abfahrt verzögert sich durch Zollschwierigkeiten.	{H0007338=Charleston|H0007338}	{}	[]
H0014777	1804-04-29	H. segelt von Havanna mit dem Frachtschiff „Concepción“ nach Philadelphia in den Vereinigten Staaten.	{H0006819=Havanna|H0006819, H0007552=Concepción|H0007552, H0008246=Philadelphia|H0008246, H0009136=Vereinigten Staaten|H0009136}	{}	[]
H0014778	1804-05-09	Das Schiff gerät in einen schweren Sturm. H. bezeichnet den Tag als den „schlimmsten seines Lebens“ neben dem 6.4.1800, an dem er beinahe im Orinoco ertrunken wäre.	{H0010593=Orinoco|H0010593}	{}	[]
H0014779	1804-05-20	H.s Schiff trifft auf dem Delaware River vor Philadelphia ein. H. hält sich bis zum 30.6. in den Vereinigten Staaten auf.	{H0005501=Delaware River|H0005501, H0008246=Philadelphia|H0008246, H0009136=Vereinigten Staaten|H0009136}	{}	[]
H0014780	1804-05-24	H. unterzeichnet eine Zollerklärung, aus der ersichtlich ist, dass er außer Kisten mit Kleidungsstücken und Bettzeug 27 Behälter mit getrockneten Pflanzen bei sich hat.	{}	{}	[]
H0014781	1804-05-29	H., Bonpland und Carlos Montúfar reisen von Philadelphia nach Washington ab. Reiseroute: Chester, Wilmington, Charlestown, Havre de Grace, Baltimore (30.5.–1.6.), Vanville, Bladensburg. Washington (1.–13.6., mehrfaches Zusammentreffen mit Präsident Thomas Jefferson und Mitgliedern seines Kabinetts). Rückreise über Lancaster (16.–18.6.), Downing Town.	{H0005091=Baltimore|H0005091, H0007339=Charlestown|H0007339, H0007920=Washington|H0007920, H0008246=Philadelphia|H0008246, H0011353=Lancaster|H0011353}	{H0003476=Bonpland|H0003476|https://upload.wikimedia.org/wikipedia/commons/5/5a/Bonpland_Aim%C3%A9_1773-1858.jpg, H0004152=Thomas Jefferson|H0004152|https://upload.wikimedia.org/wikipedia/commons/3/3f/Thomas_Jefferson_by_Rembrandt_Peale_1805_cropped.jpg}	[]
H0014782	1804-06-18	H. wieder in Philadelphia.	{H0008246=Philadelphia|H0008246}	{}	[]
H0014783	1804-06-30	H. schifft sich mit seinen Begleitern in New Castle am Delaware auf dem Schiff „Favorite“ ein, um die Heimreise anzutreten.	{}	{}	[]
H0014784	1804-07-02	H. mißt auf dem Delaware gegenüber Brandywine die Wassertemperatur.	{}	{}	[]
H0014785	1804-07-09	Ausfahrt aus der Mündung des Delaware.	{}	{}	[]
H0014786	1804-07-20	H. wird Mitglied der „American Philosophical Society“ in Philadelphia.	{H0008246=Philadelphia|H0008246}	{}	[]
H0014787	1804-08-01	H.s Schiff trifft in der Garonnemündung vor Bordeaux ein.	{H0005318=Bordeaux|H0005318}	{}	[]
H0014788	1804-08-03	H. betritt in Bordeaux nach mehr als fünfjähriger Abwesenheit europäischen Boden.	{H0005318=Bordeaux|H0005318}	{}	[]
H0014789	1804-08-27	H. trifft in Paris ein und nimmt dort seinen vorläufigen Wohnsitz (Rue des Augustins, Faubourg St. Germain) bis Anfang März 1805. Er lernt Simón Bolívar, den späteren Freiheitshelden Südamerikas, kennen.	{H0008129=Paris|H0008129}	{H0003452=Simón Bolívar|H0003452|https://upload.wikimedia.org/wikipedia/commons/1/19/Sim%C3%B3n_Bol%C3%ADvar_-_Juan_Lovera%2C_1827.jpg}	[]
H0014790	1804-09-12	H. liest zum ersten Male den Anfang einer Reisebeschreibung im „Institut“ (vgl. 1798–05–25).	{}	{}	[]
H0014791	1804-09-17	H. liest im „Institut“ eine „relation abrégée de son voyage“ (Fortsetzungen 24.9. und 15.10., Schluß 29.10.).	{}	{}	[]
H0014792	1804-09	H. sitzt dem Maler Francois Gérard in den ersten Wochen nach seiner Rückkehr zu einem Porträt, das 1805 von Auguste Desnoyers gestochenen wird (Brustbild, sitzend).	{}	{H0012249=Auguste Desnoyers|H0012249|https://upload.wikimedia.org/wikipedia/commons/4/46/Desnoyers%2C_Auguste_Gaspard_Louis.jpg, H0013415=Francois Gérard|H0013415|https://upload.wikimedia.org/wikipedia/commons/8/8c/Fran%C3%A7ois_G%C3%A9rard_%281770%E2%80%931837%29%2C_later_Baron_G%C3%A9rard_MET_DP327712.jpg}	[]
H0014793	1804-10-28	H. wird auf einer großen diplomatischen Audienz Napoleon I. vorgestellt.	{}	{H0000248=Napoleon I.|H0000248|https://upload.wikimedia.org/wikipedia/commons/b/b5/Jacques-Louis_David_-_The_Emperor_Napoleon_in_His_Study_at_the_Tuileries_-_Google_Art_Project_2.jpg}	[]
H0014794	1804-11-17	H. führt mit dem Chemiker und Physiker Joseph-Louis Gay-Lussac bis zum 23.12. chemische Luftanalysen durch.	{}	{H0013386=Joseph-Louis Gay-Lussac|H0013386|https://upload.wikimedia.org/wikipedia/commons/2/2f/Gaylussac.jpg}	[]
H0014795	1804-11-19	H. liest im „Institut“ über „Tableau géologique de la Cordillère des Andes“.	{}	{}	[]
H0014796	1804-11-26	H. liest im „Institut“ über die „limite inférieure de la neige perpétuelle“.	{}	{}	[]
H0014797	1804-12-17	Der Physiker Jean-Baptiste Biot liest im „Institut“ die mit H. gemeinschaftlich verfasste Arbeit „Sur les variations du magnétisme terrestre à différentes latitudes“.	{}	{H0003358=Jean-Baptiste Biot|H0003358|https://upload.wikimedia.org/wikipedia/commons/8/8d/Jean_baptiste_biot.jpg}	[]
H0014929	1818-02-23	H. wird Ehrenmitglied der Petersburger Akademie der Wissenschaften. H. wohnt in Paris Quai de l'École n. 26 (erstmalig belegt: 21.4.1817) bis zu seiner Übersiedlung nach Berlin 1827.	{H0005221=Berlin|H0005221, H0008129=Paris|H0008129}	{}	[]
H0014930	1818-03-09	H. liest im „Institut“ über „le lait de l'arbre de la vache“.	{}	{}	[]
H0014931	1818-06-29	H. liest im „Institut“ über „l'influence de la déclinaison du soleil sur le commencement des pluies équatoriales“.	{}	{}	[]
H0014932	1818-08-24	H. und Jöns Jacob Berzelius lernen sich in Paris kennen.	{H0008129=Paris|H0008129}	{H0003302=Jöns Jacob Berzelius|H0003302|https://upload.wikimedia.org/wikipedia/commons/b/b0/J%C3%B6ns_Jacob_Berzelius_from_Familj-Journalen1873.png}	[]
H0014933	1818-09-14	H. reist mit dem Zoologen Achille Valenciennes (1794–1865) nach London, um dort erneut seinen Bruder zu besuchen.	{H0011492=London|H0011492}	{H0002750=Achille Valenciennes|H0002750|https://upload.wikimedia.org/wikipedia/commons/e/ef/Achille_Valenciennes01.jpg, H0012068=Bruder|H0012068|https://upload.wikimedia.org/wikipedia/commons/a/af/WilhelmvonHumboldt.jpg}	[]
H0014934	1818-09-19	H. trifft in London ein.	{H0011492=London|H0011492}	{}	[]
H0014935	1818-10-08	H. verläßt London, um sich nach Aachen zu begeben.	{H0002298=Aachen|H0002298, H0011492=London|H0011492}	{}	[]
H0014936	1818-10-14	H. hält sich während des Kongresses zu Aachen dort auf, um über die von seinem Bruder gewünschte Abberufung aus London und über die Unterstützung seiner eigenen asiatischen Reisepläne zu verhandeln.	{H0002298=Aachen|H0002298, H0011492=London|H0011492}	{H0012068=Bruder|H0012068|https://upload.wikimedia.org/wikipedia/commons/a/af/WilhelmvonHumboldt.jpg}	[]
H0014937	1818-10-19	Der in Aachen anwesende König Friedrich Wilhelm III. sichert H. für seine beabsichtigte Reise „nach der indischen Halbinsel und dem indischen Archipelagus“ für vier bis fünf Jahre je 12.000 Taler sowie das (Staatseigentum bleibende) Instrumentarium zu. H. begleitet Friedrich Wilhelm III. und Zar Alexander I von Rußland zu einer Truppenbesichtigung nach Valenciennes (B: 23.10.) und zu einem kurzen Besuch von Paris (1.11.: Besuch des „Panorama de Londres“); er kehrt von dort im Gefolge der Souveräne nach Aachen zurück (wohl nach 5.11.). Reisedaten Friedrich Wilhelm III.: Abreise von Aachen 20.10. bis Naumur, 21.10. bis Valenciennes und hier bis 24.10., am 24.10. bis Maubeuge, am 25.10. bis Sedan und hier bis 27.10., am 27.10. bis Soisson, am 28.10. bis Paris und hier bis 3.11., am 3.11. von Paris bis Roye, 4.11. bis Mons, 5.11. bis Huy, 6.11. über Lüttich bis Aachen und hier bis 20.11., am 28.11. wieder in Potsdam.	{H0002298=Aachen|H0002298, H0008129=Paris|H0008129, H0008392=Potsdam|H0008392}	{H0001155=Zar Alexander I von Rußland|H0001155|https://upload.wikimedia.org/wikipedia/commons/b/be/Alexander_I_by_Fran%C3%A7ois_G%C3%A9rard.jpg, H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0014938	1818-11-03	Wilhelm von Humboldt trifft ebenfalls in Aachen ein.	{H0002298=Aachen|H0002298}	{H0012068=Bruder|H0012068|https://upload.wikimedia.org/wikipedia/commons/a/af/WilhelmvonHumboldt.jpg}	[]
H0014939	1818-11-23	H. verfasst ein Promemoria über die „Aufnahme und Verbesserung des Berg- und Hüttenwesens in dem Hauptbergbaudistrict der rheinischen Provinzen“.	{}	{}	[]
H0014940	1818-11-25	Etwa an diesem Tage reist H. wieder nach Paris zurück.	{H0008129=Paris|H0008129}	{}	[]
H0014527	1839-01-03	H. reist von Paris nach Berlin; Frankfurt/Main (7.1.). Am 11.1. ist er wieder in Berlin und besucht Gabriele von Bülow (ebenso am 12.1. und 16.1.).	{H0004798=Frankfurt/Main|H0004798, H0005221=Berlin|H0005221, H0008129=Paris|H0008129}	{H0003768=Gabriele von Bülow|H0003768|https://upload.wikimedia.org/wikipedia/commons/6/63/GabrieleVonBuelow.png}	[]
H0014528	1839-01-07	Arago trägt im „Institut“ in Paris das positive Ergebnis der Prüfung der Erfindung der Daguerreotypie (Vorläufer der Photographie) vor. Dazu war eine Kommission eingesetzt, der außer Arago noch H. und Biot angehörten. H. hatte noch kurz vor seiner Abreise am 3.1. die erste Aufnahme des Mondes zu Gesicht bekommen. Künftig fördert er systematisch die Nutzung der photographischen Möglichkeiten auf Forschungsreisen.	{H0008129=Paris|H0008129}	{H0003358=Jean-Baptiste Biot|H0003358|https://upload.wikimedia.org/wikipedia/commons/8/8d/Jean_baptiste_biot.jpg, H0012670=Arago|H0012670|https://upload.wikimedia.org/wikipedia/commons/6/69/Fran%C3%A7ois_Arago.jpg}	[]
H0014529	1839-04-21	H. fährt mit der Eisenbahn von Berlin nach Potsdam. Der König fährt am 8.5. zum ersten Mal mit der Bahn (die Gesamtstrecke war bereits am 29.10.1838 eingeweiht worden).	{H0005221=Berlin|H0005221, H0008392=Potsdam|H0008392}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0014530	1839-05	H. verhandelt mit Johann Jakob Baeyer über den beabsichtigten Bau einer Telegraphen-Versuchsanlage. In einem Gutachten tritt er für die Verwirklichung ein: „Der preußische Staat muß alles haben, was auf Intelligenz gegründet ist!“ H. ist den halben April und den ganzen Mai grippekrank.	{}	{H0003030=Johann Jakob Baeyer|H0003030|https://upload.wikimedia.org/wikipedia/commons/a/a8/Baeyer.jpg}	[]
H0014531	1839-06-18	H. in Paretz. Der König seit dem 14.6. in Paretz, 18.6. zurück nach Charlottenburg.	{H0007341=Charlottenburg|H0007341, H0008113=Paretz|H0008113}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0014532	1839-07-16	H. reist zum zehnten und letzten Mal nach Teplitz. Am 3.8. weilt er mit Friedrich Wilhelm III. auf der Bastei. 8.8. Abreise. Rückreise nach Berlin über Dresden und Leipzig. Am 11.8. ist er wieder in Berlin. Reisedaten Friedrich Wilhelm III.: 16.7. Abreise nach Teplitz, 17.7. Ankunft, 2.8. nach Schandau, 3.8. zur Bastei und zurück nach Schandau, 4.8. Königstein und über Peterswalde zurück nach Teplitz, 8.8. Rückreise über Erdmannsdorf, 23.8. Ankunft in Berlin.	{H0000454=Königstein|H0000454, H0005221=Berlin|H0005221, H0005565=Dresden|H0005565, H0009328=Teplitz|H0009328, H0011410=Leipzig|H0011410}	{H0002177=König|H0002177|https://upload.wikimedia.org/wikipedia/commons/7/76/Friedrich_Wilhelm_III.%2C_K%C3%B6nig_von_Preu%C3%9Fen_%28unbekannter_Maler%29.jpg}	[]
H0014533	1839-08-21	Christian Gottfried Ehrenberg, führt, von H. begleitet, in den Neuen Kammern in Potsdam mehreren Fürstlichkeiten seine Präparate unter dem Mikroskop vor. H. wohnt im Schloss Charlottenhof.	{H0008392=Potsdam|H0008392}	{H0005875=Christian Gottfried Ehrenberg|H0005875|https://upload.wikimedia.org/wikipedia/commons/4/48/Ehrenberg_Christian_Gottfried_1795-1876.png}	[]
H0014534	1839-09	H. verhandelt mit dem Verleger Alexander Duncker über die Herausgabe von Wilhelm von Humboldts Schriften über die Amerikanischen Sprachen (B: Brief von Alexander Duncker an H. vom 24.9.1839).	{}	{H0012068=Bruder|H0012068|https://upload.wikimedia.org/wikipedia/commons/a/af/WilhelmvonHumboldt.jpg, H0012430=Alexander Duncker|H0012430|https://upload.wikimedia.org/wikipedia/commons/6/69/Duncker%2C_Alexander_%281813-1897%29.jpg}	[]
H0014535	1839-10-08	Sir Edward Sabine besucht H. und reist am 14.10. weiter nach Göttingen zum „Magnetischen Kongreß“.	{H0010897=Göttingen|H0010897}	{}	[]
H0014536	1839-10-11	H. lädt Johann Franz Encke ein, an diesem Tag bei ihm „mit den Sabinern“ – das sind Sir Edward Sabine (1788–1883) und Lady Elizabeth Juliana Sabine ( 1807–1879) – zu frühstücken. Wahrscheinlich ist auch der irische Physiker Humphrey Lloyd (1800–1881) anwesend.	{}	{H0004576=Humphrey Lloyd|H0004576|https://upload.wikimedia.org/wikipedia/commons/b/b1/Humphrey_Lloyd.jpg, H0005930=Johann Franz Encke|H0005930|https://upload.wikimedia.org/wikipedia/commons/1/1d/Johann_Franz_Encke.jpg}	[]
H0014537	1839-10-26	H. verfasst Vorschläge für die Instruktion einer englischen Antarktis-Expedition.	{}	{}	[]
H0014538	1839-10-30	Rudolf Virchow begegnet H. am „Stiftungstag des Instituts“ in Berlin.	{H0005221=Berlin|H0005221}	{H0002869=Rudolf Virchow|H0002869|https://upload.wikimedia.org/wikipedia/commons/8/80/Rudolf_Virchow.jpg}	[]
H0014539	1839-11-28	H. liest in der Berliner Akademie über „die drei großen Naturbegebenheiten, welche die Hochebene von Quito ganz verändert haben, besonders die große Katastrophe von Riobamba am 4.2.1797“.	{}	{}	[]
H0003822	1851-01-18	H. nimmt am Kapitel des Schwarzen Adler-Ordens (150. Wiederkehr des Jahrestages der Stiftung des Ordens und zugleich Krönungs- und Ordensfest) im Schloss zu Berlin teil.	{H0005221=Berlin|H0005221}	{}	[]
H0003823	1851-02-22	H. spricht von seinem „tiefeingewurzelten Magenübel“ (Brief an Gauß, 22.2.1851).	{}	{H0013366=Gauß|H0013366|https://upload.wikimedia.org/wikipedia/commons/9/9b/Carl_Friedrich_Gauss.jpg}	[]
H0003824	1851-03-20	H. spricht in der Berliner Akademie der Wissenschaften über die Beobachtungen des „Schwankens der Sterne“, welche am 22.6.1799 von ihm selbst am Abhang des Pico del Teide (Teneriffa) und später vom Prinzen Adalbert von Preußen angestellt worden sind, und verliest einen eingegangenen Bericht über eine neue, am 20.1.1851 in Trier vorgenommene Beobachtung.	{H0009297=Pico del Teide|H0009297, H0009313=Teneriffa|H0009313, H0009513=Trier|H0009513}	{H0002139=Adalbert von Preußen|H0002139|https://upload.wikimedia.org/wikipedia/commons/d/dc/Adalbert_von_Preu%C3%9Fen.jpg}	[]
H0003825	1851-04-28	Der Bildhauer Christian Daniel Rauch beginnt die Arbeit an einer neuen Büste H.s.	{}	{H0000746=Christian Daniel Rauch|H0000746|https://upload.wikimedia.org/wikipedia/commons/d/d6/Christian_Daniel_Rauch_2.JPG}	[]
H0003826	1851-05-06	Der Zoologe Achille Valenciennes, H.s alter Pariser Freund, besucht Berlin und wohnt bei H. (bis zum 23.5.).	{H0005221=Berlin|H0005221}	{H0002750=Achille Valenciennes|H0002750|https://upload.wikimedia.org/wikipedia/commons/e/ef/Achille_Valenciennes01.jpg}	[]
